,image,car_ground_truth,bus_ground_truth,car_predicted,bus_predicted
67,data/dawn/test-dataset/image0068.jpg,30,2,30,1
68,data/dawn/test-dataset/image0069.jpg,10,0,10,0
69,data/dawn/test-dataset/image0070.jpg,1,0,2,0
70,data/dawn/test-dataset/image0071.jpg,2,1,0,1
71,data/dawn/test-dataset/image0072.jpg,10,1,10,2
72,data/dawn/test-dataset/image0073.jpg,6,0,6,1
73,data/dawn/test-dataset/image0074.jpg,2,0,4,1
74,data/dawn/test-dataset/image0075.jpg,2,0,2,1
75,data/dawn/test-dataset/image0076.jpg,1,0,1,0
76,data/dawn/test-dataset/image0077.jpg,19,0,20,0
77,data/dawn/test-dataset/image0078.jpg,6,0,6,1
78,data/dawn/test-dataset/image0079.jpg,5,0,6,1
79,data/dawn/test-dataset/image0080.jpg,3,0,5,1
80,data/dawn/test-dataset/image0081.jpg,3,1,3,1
81,data/dawn/test-dataset/image0082.jpg,2,0,2,0
82,data/dawn/test-dataset/image0083.jpg,1,0,1,1
83,data/dawn/test-dataset/image0084.jpg,2,0,2,0
84,data/dawn/test-dataset/image0085.jpg,52,0,52,0
85,data/dawn/test-dataset/image0086.jpg,5,0,4,1
86,data/dawn/test-dataset/image0087.jpg,10,0,10,1
87,data/dawn/test-dataset/image0088.jpg,2,0,2,0
88,data/dawn/test-dataset/image0089.jpg,11,2,11,2
89,data/dawn/test-dataset/image0090.jpg,1,0,1,0
90,data/dawn/test-dataset/image0091.jpg,8,0,9,0
91,data/dawn/test-dataset/image0092.jpg,8,0,7,1
92,data/dawn/test-dataset/image0093.jpg,3,0,4,0
93,data/dawn/test-dataset/image0094.jpg,7,0,7,0
94,data/dawn/test-dataset/image0095.jpg,36,0,38,0
95,data/dawn/test-dataset/image0096.jpg,1,0,2,1
96,data/dawn/test-dataset/image0097.jpg,1,0,0,1
97,data/dawn/test-dataset/image0098.jpg,6,0,8,0
